实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例
尺寸比例,,,,,,,,,,,,,,,,,,,,,,,,,,,2
图层,0,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,
图层,中心线层,1,点画线,18,点画线: ____ . ____ . ____ . ____ . ____ . ____,162;108;18;18;18,,,,,,,,,,,,,,,,,,,,,
图层,虚线层,6,虚线,18,虚线: __ __ __ __ __ __ __ __ __ __ __ __ __,18.0;9.0;9.0,,,,,,,,,,,,,,,,,,,,,
图层,细实线层,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,
图层,粗实线层,7,Continuous,35,Solid line,,,,,,,,,,,,,,,,,,,,,,
图层,尺寸线层,3,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,
图层,剖面线层,4,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,
图层,隐藏层,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,
图层,Defpoints,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-37.5,-171,37.5,-171,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,120,-23,62,-23,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,118.5,-21,56.038,-21,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,120,23,62,23,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,118.5,21,56.038,21,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,62,23,62,-23,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,120,{\H0.5x;<>},120,100.939,0,62,120,80,,,,,,,0,32,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,124,{\H0.5x;<>},171.65,62,120,-62,120,62,,,,,,,90,32,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,46,{\H0.5x;M<>*3},147.506,23,120,-23,120,23,,,,,,,90,32,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-62,-230,-62,-170,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,-67,-200,123.069,-200,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,315,0,385,0,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,350,67,350,-67,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,60,{\H0.5x;<>},-76.043,-170,-62,-230,-62,-170,,,,,,,90,32,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,56.038,21,52,0,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,52,0,56.038,-21,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,120,62,120,-62,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-62,-170,-46,-170,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-46,-230,-62,-230,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,320,62,380,62,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,380,62,380,-62,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,380,-62,320,-62,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,320,-62,320,62,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,60,{\H0.5x;<>},380,80,320,62,380,62,,,,,,,0,32,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,58,{\H0.5x;<>},120,80,62,23,120,62,,,,,,,0,32,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-46,-170,120,-170,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,120,-170,120,-230,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-46,-230,120,-230,,,,,,,,,,,
