实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例,尺寸样式
图层,0,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,中心线层,1,点画线,18,点画线: ____ . ____ . ____ . ____ . ____ . ____,162.0;108.0;18.0;18.0;18.0;0.0,,,,,,,,,,,,,,,,,,,,,,
图层,虚线层,6,虚线,18,虚线: __ __ __ __ __ __ __ __ __ __ __ __ __,18.0;9.0;9.0;0.0,,,,,,,,,,,,,,,,,,,,,,
图层,细实线层,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,粗实线层,7,Continuous,35,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,尺寸线层,3,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,剖面线层,4,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,隐藏层,-7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,Defpoints,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
INSERT,粗实线层,256,BYLAYER,-1,,,,块名: $CAXA_FRAME_13B17AC1$,,,65,-206,,,,,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,-840,-594,840,-594,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,840,-594,840,594,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,840,594,-840,594,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,-840,594,-840,-594,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,-800,554,-800,-554,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,-800,-554,800,-554,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,800,-554,800,554,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,800,554,-800,554,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-208,-84,-208,84,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-215,84,-215,-84,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-355,62,-355,-62,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-475,62,-355,62,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-475,-62,-355,-62,,,,,,,,,,,,
ARC,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,-475,0,62,,,,,,90,270,,
CIRCLE,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,-475,0,37.5,,,,,,,,,
