零件名,尺寸名,值,说明
前/后吊耳,前吊耳长,120,前吊耳中心至前吊耳右侧边
前/后吊耳,后吊耳长,100,后缸筒后端面至后吊耳中心
前/后吊耳,吊耳半径,62,前后吊耳外圆半径（R 标注）
前/后吊耳,吊耳宽度,124,前吊耳圆弧直径（前吊耳为方块 + 半圆弧）
前/后吊耳,轴承孔直径,75,吊耳轴承孔直径
前/后吊耳,销轴孔直径,50,吊耳销轴孔直径
前/后吊耳,耳环厚度,60,前后吊耳耳环厚度（垂直于图面方向，仅引出注释）
活塞杆,轴端螺纹长度,55,活塞杆轴端螺纹旋入前吊耳的长度（自吊耳右侧边起算）
活塞杆,活塞杆直径,50,活塞杆直径
活塞杆,锥收口长,4,锥形收口段长度
活塞杆,锥收口末直径,47,锥形收口末端直径
前盖,前盖台阶厚,7,前盖前端面至台阶端
前盖,前盖厚度,65,前盖前面到前盖后面的距离
导向套,导向套定位长度,55,导向套与缸筒的定位长度
导向套,导向套台阶厚,10,导向套前端面至后端面
导向套,导向套直径,145,导向套外圆直径
后盖,后盖台阶厚,10,后缸筒后端台阶厚度
后盖,后盖螺纹直径,140,后盖螺纹直径
后盖,后盖螺纹长度,40,后盖内螺纹旋入长度（由后缸筒长度反推）
活塞,活塞宽,60,活塞轴向宽度
活塞,活塞直径,140,活塞外圆直径
前缸筒,前缸筒内径,140,前缸筒内孔直径
前缸筒,前缸筒外径,168,前缸筒外圆直径
前缸筒,前缸筒前后螺纹直径,150,前缸筒前端螺纹与后端螺纹直径（前后相同）
前缸筒,前缸筒前后螺纹长度,35,前缸筒前端与后端螺纹长度（前后相同）
后缸筒,后缸筒内径,132,后缸筒内孔直径
后缸筒,后缸筒外径,162,后缸筒外圆直径
