实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例,尺寸样式
图层,0,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,中心线层,1,点画线,18,点画线: ____ . ____ . ____ . ____ . ____ . ____,108.0;18.0;18.0;18.0;0.0,,,,,,,,,,,,,,,,,,,,,,
图层,虚线层,6,虚线,18,虚线: __ __ __ __ __ __ __ __ __ __ __ __ __,9.0;9.0;0.0,,,,,,,,,,,,,,,,,,,,,,
图层,细实线层,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,粗实线层,7,Continuous,35,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,尺寸线层,3,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,剖面线层,4,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,隐藏层,-7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,Defpoints,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
MTEXT,尺寸线层,256,BYLAYER,-1,,,,,{\W0.7;\T1.1;       技术要求 \P\H0.6x;1.焊缝满足图纸大小要求，不得有气孔、夹渣等。\P2.表面喷涂环氧富锌底漆2遍，面漆一遍，表面光滑。\P3.产品总长度控制在正负3毫米以内。\P\H1.66667x;\W1;\T1; },,579.928,-171.571,,,,,,,,,,45,0,,,,,
INSERT,粗实线层,256,BYLAYER,-1,,,,块名: 图框,,,-1336.5,-945,,,,,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: 图框,,,,,0,0,2673,0,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: 图框,,,,,0,1890,0,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 图框,,,,,90,1800,90,90,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 图框,,,,,90,90,2583,90,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: 图框,,,,,2673,0,2673,1890,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 图框,,,,,2583,90,2583,1800,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: 图框,,,,,2673,1890,0,1890,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 图框,,,,,2583,1800,90,1800,,,,,,,,,,,,
INSERT,0,256,BYLAYER,-1,,,,块名: 主视图,,,-1100,550,,,,,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,0,80,0,-80,,,,,,,,,,,,
LWPOLYLINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,,,,,,,,"(1085.01, 100, 0, 0, 0); (1085.01, -100, 0, 0, 0); (150, -100, 0, 0, 0); (150, 100, 0, 0, 0)",是,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-30.5,0,1242,0,,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,引用于: 主视图,1235,{\H2.5x;L},1235,185.325,0,80,1235,80,,,,,,,0,32,,,,CUSTOM_DIMSTYLE
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,引用于: 主视图,935,L-300,1085,136.694,150,110,1085,100,,,,,,,0,32,,,,CUSTOM_DIMSTYLE
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,引用于: 主视图,144,<>,1235,136.694,1091,110,1235,80,,,,,,,0,32,,,,CUSTOM_DIMSTYLE
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,150,100,150,110.194,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,150,110,144,110,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,144,110,144,-110,,,,,,,,,,,,
LINE,虚线层,256,虚线,-1,,,,引用于: 主视图,,,,,1085.01,-94,150,-94,,,,,,,,,,,,
LINE,虚线层,256,虚线,-1,,,,引用于: 主视图,,,,,150,94,1085.01,94,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,150,-100,150,-110.194,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,150,-110,144,-110,,,,,,,,,,,,
