实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例,尺寸样式
图层,0,7,Continuous,35,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,中心线层,1,点画线,18,点画线: ____ . ____ . ____ . ____ . ____ . ____,12.0;2.0;2.0;2.0,,,,,,,,,,,,,,,,,,,,,,
图层,虚线层,6,虚线,18,虚线: __ __ __ __ __ __ __ __ __ __ __ __ __,1.0;1.0,,,,,,,,,,,,,,,,,,,,,,
图层,细实线层,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,粗实线层,7,Continuous,35,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,尺寸线层,3,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,剖面线层,4,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,隐藏层,-7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,实体线,5,Continuous,50,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,标记,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,文字,7,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,粗符号线,6,Continuous,18,Solid line,,,,,,,,,,,,,,,,,,,,,,,
图层,Defpoints,7,Continuous,-3,Solid line,,,,,,,,,,,,,,,,,,,,,,,
INSERT,粗实线层,7,BYLAYER,-1,,,,块名: *X2,,,1890,1336.5,,,,,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: *X2,,,,,-210,-148.5,210,-148.5,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: *X2,,,,,210,-148.5,210,148.5,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: *X2,,,,,210,148.5,-210,148.5,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: *X2,,,,,-210,148.5,-210,-148.5,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: *X2,,,,,-200,138.5,-200,-138.5,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: *X2,,,,,-200,-138.5,200,-138.5,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: *X2,,,,,200,-138.5,200,138.5,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: *X2,,,,,200,138.5,-200,138.5,,,,,,,,,,,,
INSERT,粗实线层,7,BYLAYER,-1,,,,块名: *X3,,,3690,90,,,,,,,,,,,,,,,,
MTEXT,尺寸线层,7,Continuous,18,,,,引用于: *X3,\T1.1;羿射旭减隔震张家口有限公司,,-90.454,43.316,,,,,,,,,,3.704,0,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-180,50,0,50,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,0,50,0,0,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,0,0,-180,0,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-180,0,-180,50,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-120,0,-120,50,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-60,0,-60,50,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-60,5,-180,5,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-60,15,-180,15,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-60,25,-180,25,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-120,45,-180,45,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-120,40,-180,40,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-120,40,-180,40,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-120,35,-180,35,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-120,30,-180,30,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-120,20,-180,20,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-120,10,-180,10,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-105,5,-105,25,,,,,,,,,,,,
LINE,实体线,256,BYLAYER,-1,,,,引用于: *X3,,,,,-90,0,-90,25,,,,,,,,,,,,
